Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,Response,PositiveScore,NegativeScore
Chauranga,2014,N/A,08 Jan 2016,88 min,Drama,Bikas Ranjan Mishra,"Bikas Ranjan Mishra (story), Bikas Ranjan Mishra","Dhritiman Chatterjee, Tannishtha Chatterjee, Delzad Hiwale, Anshuman Jha",A fourteen year old Dalit (lower caste) boy in rural India is killed for writing a love letter.,Hindi,India,2 wins.,N/A,N/A,8.2,20,tt3777164,movie,True,0.4
Wazir,2016,N/A,08 Jan 2016,103 min,"Action, Crime, Drama",Bejoy Nambiar,"Vidhu Vinod Chopra (story), Vidhu Vinod Chopra (screenplay), Abhijat Joshi (screenplay), Bejoy Nambiar (screenplay), Natasha Sahgal (screenplay), Shubhra Marfatia (screenplay), Abhijeet Deshpande (dialogue), Gazal Dhaliwal (dialogue)","Amitabh Bachchan, John Abraham, Farhan Akhtar, Aditi Rao Hydari",A grief-stricken cop and amputee grandmaster are brought together by a peculiar twist of fate as part of a wider conspiracy that has darkened their lives.,Hindi,India,N/A,http://ia.media-imdb.com/images/M/MV5BMTUzNDU4NDMyOV5BMl5BanBnXkFtZTgwNjcyNzU0NzE@._V1_SX300.jpg,N/A,7.3,"8,101",tt0315642,movie,True,0.3,0.1
Jugni,2016,N/A,22 Jan 2016,N/A,Drama,Shefali Bhushan,"Siddhant Behl (associate writer), Shefali Bhushan (screenplay), Shefali Bhushan (story), Shellee (dialogue writer)","Sugandha Garg, Sadhana Singh, Anurita Jha, Divya Unny","Jugni (Firefly) is the beat of the soul, the free-flying spirit. Jugni is Vibhavari (Vibs). Vibs is a music director, working on her first big break in the Hindi film industry. When work ...",Hindi,India,N/A,http://ia.media-imdb.com/images/M/MV5BMzM3M2MzYTMtZjlkMy00MThkLWE1ZWMtYzNjMDI0ZmQ5ZDI5XkEyXkFqcGdeQXVyNjU2ODkyODg@._V1_SX300.jpg,N/A,7.5,11,tt3453964,movie,True,0.1,0.3
Mastizaade,2016,N/A,29 Jan 2016,119 min,Comedy,Milap Zaveri,"Mushtaq Sheikh (story), Milap Zaveri (story), Mushtaq Sheikh (screenplay), Milap Zaveri (dialogue)","Tusshar Kapoor, Vir Das, Sunny Leone, Asrani",Two womanizing bachelors fall in love with twin sisters who run a sex addiction clinic.,Hindi,India,N/A,http://ia.media-imdb.com/images/M/MV5BMzk0NjIxMjg2NV5BMl5BanBnXkFtZTgwMDk5NzY2NzE@._V1_SX300.jpg,N/A,2.3,"1,545",tt3726012,movie,True
Fitoor,2016,N/A,12 Feb 2016,131 min,"Drama, Romance",Abhishek Kapoor,"Charles Dickens (novel), Abhishek Kapoor (screenplay), Supratik Sen (screenplay), Supratik Sen (dialogue)","Aditya Roy Kapoor, Katrina Kaif, Tabu, Rahul Bhat","A poor but talented Kashmiri boy Noor, is hired as a stable-keeper by Begum. He is deeply infatuated with her daughter Firdaus. Begum notices his actions and sends Firdaus to London. She ...","Hindi, Urdu",India,N/A,http://ia.media-imdb.com/images/M/MV5BOWVhMjhjZWUtYjNlYS00ZGE3LTg2NTMtM2RhNTE5NGM3YzZmXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,N/A,5.5,"2,251",tt4399594,movie,True
Neerja,2016,N/A,19 Feb 2016,122 min,"Biography, Drama, Thriller",Ram Madhvani,"Saiwyn Quadras (story and screenplay), Sanyukta Shaikh Chawla (dialogue)","Parth Akerkar, Hayder Ali, Bobby Arora, Rohit Assija","Neerja is a portrayal on the life of the courageous Neerja Bhanot, who sacrificed her life while protecting the lives of 359 passengers on the Pan Am flight 73 in 1986. The flight was hijacked by a terrorist organization.",Hindi,India,N/A,http://ia.media-imdb.com/images/M/MV5BYzMxM2EwMzctOWUzYy00ZTNkLWE3ZjYtYjI5NWUzZTMwZDAwXkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_SX300.jpg,N/A,8.1,"7,228",tt5286444,movie,True
Aligarh,2015,N/A,26 Feb 2016,114 min,"Biography, Drama",Hansal Mehta,"Apurva Asrani (story), Apurva Asrani (screenplay)","Sukhesh Arora, Manoj Bajpayee, Balaji Gauri, Sumit Gulati","A true story of Dr. Shrinivas Ramchandra Siras, who was suspended from his job because of his sexual orientation.",Hindi,India,N/A,http://ia.media-imdb.com/images/M/MV5BZDUzYTRjMDAtNDkwMi00ZWY1LWI1OWEtM2VjY2NjNzNhOTRmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_SX300.jpg,N/A,8.0,"1,900",tt5121000,movie,True
Zubaan,2015,N/A,04 Mar 2016,115 min,Drama,Mozez Singh,"Sumit Roy (screenplay), Mozez Singh, Thani (screenplay)","Raaghav Chanana, Manish Chaudhary, Sarah-Jane Dias, Abhimanyu Garg","A young boy wants to become a big shot but after seeing the bad things involved he instead chooses to pursue his passion that is singing, similar to his father.","Hindi, English, Panjabi",India,N/A,http://ia.media-imdb.com/images/M/MV5BOGYwYTJkZjQtYTRkZS00Mjc2LWFiMDctZGZkNzY5MTBiYzRkXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,N/A,7.9,71,tt3776484,movie,True
Fan,2016,N/A,15 Apr 2016,142 min,"Action, Drama, Thriller",Maneesh Sharma,"Maneesh Sharma (story), Habib Faisal (screenplay), Habib Faisal (dialogue), Sharat Katariya (dialogue)","Shah Rukh Khan, Joelle Koissi, Mariola Jaworska, Sayani Gupta","Gaurav, a huge fan of movie star Aryan Khanna, heads to Mumbai in order to wish his God a happy birthday. When things don't go according to plan, Gaurav's obsession with Aryan crosses the line.",Hindi,India,N/A,http://ia.media-imdb.com/images/M/MV5BOTMzMjkwNTI0Nl5BMl5BanBnXkFtZTgwODIxMzQ1ODE@._V1_SX300.jpg,N/A,7.8,"24,298",tt3495026,movie,True
Baaghi,2016,N/A,29 Apr 2016,133 min,"Action, Romance",Sabir Khan,Sanjeev Datta,"Shraddha Kapoor, Tiger Shroff, Sudheer Babu Posani, Paras Arora","Shortly after arriving at a martial arts academy, a troubled young man falls for the girl being wooed by his rival.",Hindi,India,N/A,http://ia.media-imdb.com/images/M/MV5BMjg1YmVmYTEtYWYyYi00MDY2LWI3NTgtZjI5MGI4OTI1YjlkXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_SX300.jpg,N/A,5.5,"2,320",tt4864932,movie,True
Traffic,2000,R,05 Jan 2001,147 min,"Crime, Drama, Thriller",Steven Soderbergh,"Simon Moore (miniseries Traffik), Stephen Gaghan (screenplay)","Benicio Del Toro, Jacob Vargas, Andrew Chavez, Michael Saucedo","A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.","English, Spanish","USA, Germany",Won 4 Oscars. Another 69 wins & 83 nominations.,http://ia.media-imdb.com/images/M/MV5BNjMxMzBiMDctMGNmYS00ZDdjLWE5YzctNzFmMjg0YzUwMjYxXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,86,7.6,"169,933",tt0181865,movie,True
Azhar,2016,N/A,13 May 2016,130 min,"Biography, Drama, Sport",Anthony D'Souza,Rajat Arora,"Nausheen Ahmed, Saunvedan Aparanti, Varun Badola, Gurpal Bhogal","Indian biographical sports film directed by Tony D'Souza based on the life of the former Indian international cricketer, Mohammad Azharuddin. It will star Emraan Hashmi in the lead role ...","Hindi, Urdu",India,N/A,http://ia.media-imdb.com/images/M/MV5BZjdiNjI1NWItZmJiOC00MWVjLThhNmMtMzIyZGU5NjdjMmE0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_SX300.jpg,N/A,6.5,"1,949",tt4906984,movie,True
Sarbjit,2016,N/A,20 May 2016,131 min,"Biography, Drama, History",Omung Kumar,"Utkarshini Vashishtha (screenplay), Rajesh Beri (screenplay), Utkarshini Vashishtha (dialogue)","Randeep Hooda, Aishwarya Rai Bachchan, Richa Chadha, Darshan Kumar","Biopic of Sarabjit Singh, a farmer residing at Bhikiwind, Punjab, near the Indo-Pak border, crossed the border after having a couple of drinks. However, he was mistaken to be an Indian spy and was sentenced to capital punishment.",Hindi,India,N/A,http://ia.media-imdb.com/images/M/MV5BMTRlZGM3NmItZTllMy00ZGFkLTg3MTctNzg1Nzg3YTQzOTQ4XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_SX300.jpg,N/A,7.6,963,tt5120640,movie,True
